username,link,path,gender,mode,activity_level,chapter_location
28a8450e3d3eb4b74a2e99e886df392ab1cfe71a26d242f525fd15f4fbd6f486,"{""target_url"": ""http://www.wikihow.com/Take-Cornell-Notes"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/79881c6fdd5f442d849aeb75d28c6ca8/?child=first,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
28a8450e3d3eb4b74a2e99e886df392ab1cfe71a26d242f525fd15f4fbd6f486,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
28a8450e3d3eb4b74a2e99e886df392ab1cfe71a26d242f525fd15f4fbd6f486,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/,m,audit,30_min_to_5_hr,Part 1: What Is Psychology?
4f346e076fa1ef34be905266136d58e8721dae9f6b888024ec0510d8ec98c645,"{""target_url"": ""http://openstaxcollege.org/l/rannumbers"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/?activate_block_id=block-v1%3AUBCx%2BPSYC.1x%2B3T2016%2Btype%40sequential%2Bblock%404ce84023cb1841cdb637a904bdf2cd08,f,audit,30_min_to_5_hr,Part 3: Research Methods II
d1488449eae378da8175e65240f96726b22f05637f0489c91728e63f3a7ef002,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7bbf5e7db7b14bd5af987ba913855eb5/?child=first,NA,audit,over_5_hr,Part 2: Research Methods I
d1488449eae378da8175e65240f96726b22f05637f0489c91728e63f3a7ef002,"{""target_url"": ""http://www.simplypsychology.org/correlation.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,NA,audit,over_5_hr,Part 2: Research Methods I
d1488449eae378da8175e65240f96726b22f05637f0489c91728e63f3a7ef002,"{""target_url"": ""http://www.livescience.com/25448-pareidolia.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,NA,audit,over_5_hr,Part 2: Research Methods I
d1488449eae378da8175e65240f96726b22f05637f0489c91728e63f3a7ef002,"{""target_url"": ""http://www.simplypsychology.org/science-psychology.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,NA,audit,over_5_hr,Part 2: Research Methods I
fead8a16559771dd032217b9cc70ddcad1308d47c9003bc3c8e62f077da37eab,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/,f,audit,under_30_min,Part 1: What Is Psychology?
5992593e17fead31de6f1e8195727e33a18ec8bfbd319f7e9b905e8e4c86d16e,"{""target_url"": ""http://openstaxcollege.org/l/rannumbers"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/?child=first,f,audit,30_min_to_5_hr,Part 3: Research Methods II
5992593e17fead31de6f1e8195727e33a18ec8bfbd319f7e9b905e8e4c86d16e,"{""target_url"": ""http://openstaxcollege.org/l/scatplot"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08/?child=first,f,audit,30_min_to_5_hr,Part 3: Research Methods II
2176ed4b842249d48e44b1638b32a8684e47acd3cfae58c119389bd5af734390,"{""target_url"": ""http://openstaxcollege.org/l/biopsychology"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/,f,audit,under_30_min,Part 1: What Is Psychology?
