index,category,name,path,chapter_location
288,chapter,Part 3: Research Methods II,/2015cee924c3472cb8c3e6ec83b13077,Part 3: Research Methods II
289,sequential,Introduction to Part 3,/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc,Part 3: Research Methods II
290,vertical,Introduction to Part 3,/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc,Part 3: Research Methods II
291,html,Introduction to Part 3,/2015cee924c3472cb8c3e6ec83b13077/11f693e669df4579add6d3a7448331fc,Part 3: Research Methods II
294,sequential,Part 3 Readings,/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08,Part 3: Research Methods II
295,vertical,"Readings: Chapter 2, Section 2.3 - Analyzing Findings",/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08,Part 3: Research Methods II
296,html,"Readings: Chapter 2, Section 2.3",/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08,Part 3: Research Methods II
297,vertical,Part 3 Readings Review,/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08,Part 3: Research Methods II
298,html,Instructions,/2015cee924c3472cb8c3e6ec83b13077/4ce84023cb1841cdb637a904bdf2cd08,Part 3: Research Methods II
309,sequential,Methods - Experimentation,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
310,vertical,Methods - Experimentation: Learning Goals,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
311,html,Methods - Experimentation: Learning Goals,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
313,video,"Part 3, Lecture 1:  Methods - Experimentation",/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
314,html,Lecture Slides,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
315,vertical,Glossary of Terms,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
316,html,Glossary of Terms,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
318,html,Instructions,/2015cee924c3472cb8c3e6ec83b13077/56789f7e0f594251a7e340753cb357e4,Part 3: Research Methods II
322,sequential,Statistical Reasoning - Describing Data I,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
323,vertical,Statistical Reasoning - Describing Data I: Learning Goals,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
324,html,Statistical Reasoning - Describing Data I: Learning Goals,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
326,video,"Part 3, Lecture 2: Statistical Reasoning - Describing Data I",/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
327,html,Lecture Slides,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
328,vertical,Glossary of Terms,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
329,html,Glossary of Terms,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
331,html,Instructions,/2015cee924c3472cb8c3e6ec83b13077/cc7f6222de124bc2991554b50100c824,Part 3: Research Methods II
335,sequential,Statistical Reasoning - Describing Data II,/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
336,vertical,Statistical Reasoning - Describing Data II: Learning Goals,/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
337,html,Statistical Reasoning - Describing Data II: Learning Goals,/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
339,video,"Part 3, Lecture 3: Statistical Reasoning - Describing Data II",/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
340,html,Lecture Slides,/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
341,vertical,Glossary of Terms,/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
342,html,Glossary of Terms,/2015cee924c3472cb8c3e6ec83b13077/e66a6ddbf28d49b2ad6ebe1e24d76cf2,Part 3: Research Methods II
